zone_id,demand,zone_name,borough,zone_label
132,3862648,JFK Airport,Queens,JFK Airport - Queens
237,3669467,Upper East Side South,Manhattan,Upper East Side South - Manhattan
161,3636042,Midtown Center,Manhattan,Midtown Center - Manhattan
236,3299550,Upper East Side North,Manhattan,Upper East Side North - Manhattan
162,2741639,Midtown East,Manhattan,Midtown East - Manhattan
186,2632918,Penn Station/Madison Sq West,Manhattan,Penn Station/Madison Sq West - Manhattan
230,2616749,Times Sq/Theatre District,Manhattan,Times Sq/Theatre District - Manhattan
138,2566763,LaGuardia Airport,Queens,LaGuardia Airport - Queens
142,2545168,Lincoln Square East,Manhattan,Lincoln Square East - Manhattan
170,2281790,Murray Hill,Manhattan,Murray Hill - Manhattan
163,2251391,Midtown North,Manhattan,Midtown North - Manhattan
239,2183816,Upper West Side South,Manhattan,Upper West Side South - Manhattan
234,2113387,Union Sq,Manhattan,Union Sq - Manhattan
68,2089671,East Chelsea,Manhattan,East Chelsea - Manhattan
48,2030840,Clinton East,Manhattan,Clinton East - Manhattan
