day_type,hour_of_day,avg_demand_per_day
Cuối tuần,0,5551.0526315789475
Cuối tuần,1,4510.44976076555
Cuối tuần,2,3242.5502392344497
Cuối tuần,3,2142.2057416267944
Cuối tuần,4,1199.5933014354066
Cuối tuần,5,553.5885167464115
Cuối tuần,6,874.8133971291866
Cuối tuần,7,1309.0622009569379
Cuối tuần,8,2050.956937799043
Cuối tuần,9,3202.334928229665
Cuối tuần,10,4297.808612440192
Cuối tuần,11,5075.607655502392
Cuối tuần,12,5761.473684210527
Cuối tuần,13,6022.909090909091
Cuối tuần,14,6115.349282296651
Cuối tuần,15,6182.631578947368
Cuối tuần,16,6384.545454545455
Cuối tuần,17,6519.526315789473
Cuối tuần,18,6508.7799043062205
Cuối tuần,19,6049.382775119617
Cuối tuần,20,5248.784688995215
Cuối tuần,21,5088.956937799043
Cuối tuần,22,5027.004784688996
Cuối tuần,23,4583.789473684211
Ngày thường,0,2076.8582375478927
Ngày thường,1,1027.0785440613026
Ngày thường,2,558.536398467433
Ngày thường,3,362.88505747126436
Ngày thường,4,382.46934865900386
Ngày thường,5,700.6724137931035
Ngày thường,6,1764.1819923371647
Ngày thường,7,3609.17816091954
Ngày thường,8,4894.044061302682
Ngày thường,9,5056.8448275862065
Ngày thường,10,5109.0038314176245
Ngày thường,11,5384.637931034483
Ngày thường,12,5775.509578544062
Ngày thường,13,5958.773946360153
Ngày thường,14,6525.984674329502
Ngày thường,15,6761.783524904215
Ngày thường,16,6776.333333333333
Ngày thường,17,7598.5421455938695
Ngày thường,18,8104.64367816092
Ngày thường,19,7062.185823754789
Ngày thường,20,6429.032567049809
Ngày thường,21,6581.8295019157085
Ngày thường,22,5971.505747126437
Ngày thường,23,4420.793103448276
